id,categories,wie,obj,element,calc
50,5,999,,37,2
49,5,999,,36,2
48,5,999,,35,2
47,5,999,,34,2
46,5,999,,33,2
45,5,999,,32,2
44,5,999,10,31,4
43,5,95,,30,2
42,5,999,11,29,4
41,5,123,,28,4
40,5,999,12,27,4
39,5,107,,26,2
38,5,999,8,24,6
37,5,999,8,23,6
36,5,999,8,22,6
35,5,999,8,21,6
34,5,999,8,20,6
33,5,999,8,19,6
32,5,999,8,18,2
31,5,110,,17,6
30,5,111,,16,6
29,5,104,,15,6
28,5,116,,14,6
27,5,106,,13,6
26,5,117,,12,6
25,5,,,11,2
24,5,999,13,10,2
23,5,999,,9,2
22,5,999,8,8,3
21,5,999,7,7,3
20,5,999,6,6,2
19,5,999,5,5,2
18,5,999,4,4,2
17,5,999,3,3,2
16,5,999,2,2,2
15,5,999,1,1,2
59,6,999,,46,2
58,6,999,,45,2
57,6,999,,44,2
56,6,999,,43,2
55,6,999,,42,2
54,6,999,,41,2
53,6,999,,40,2
52,6,999,,39,2
51,6,999,,38,2
50,6,999,,37,2
49,6,999,,36,2
48,6,999,,35,2
47,6,999,,34,2
46,6,999,,33,2
45,6,999,,32,2
44,6,999,10,31,4
43,6,95,,30,2
42,6,999,11,29,4
41,6,123,,28,4
40,6,999,12,27,4
39,6,107,,26,2
38,6,999,8,24,6
37,6,999,8,23,6
36,6,999,8,22,6
35,6,999,8,21,6
34,6,999,8,20,6
33,6,999,8,19,6
32,6,999,8,18,2
31,6,110,,17,6
30,6,111,,16,6
29,6,104,,15,6
28,6,116,,14,6
27,6,106,,13,6
26,6,117,,12,6
25,6,,,11,2
24,6,999,13,10,2
23,6,999,,9,2
22,6,999,8,8,3
21,6,999,7,7,3
20,6,999,6,6,2
19,6,999,5,5,2
18,6,999,4,4,2
17,6,999,3,3,2
16,6,999,2,2,2
15,6,999,1,1,2
59,7,999,,46,2
58,7,999,,45,2
57,7,999,,44,2
56,7,999,,43,2
55,7,999,,42,2
54,7,999,,41,2
53,7,999,,40,2
52,7,999,,39,2
51,7,999,,38,2
50,7,999,,37,2
49,7,999,,36,2
48,7,999,,35,2
47,7,999,,34,2
46,7,999,,33,2
45,7,999,,32,2
44,7,999,10,31,4
43,7,95,,30,2
42,7,999,11,29,4
41,7,123,,28,4
40,7,999,12,27,4
39,7,107,,26,2
38,7,999,8,24,6
37,7,999,8,23,6
36,7,999,8,22,6
35,7,999,8,21,6
34,7,999,8,20,6
33,7,999,8,19,6
32,7,999,8,18,2
31,7,110,,17,6
30,7,111,,16,6
29,7,104,,15,6
28,7,116,,14,6
27,7,106,,13,6
26,7,117,,12,6
25,7,,,11,2
24,7,999,13,10,2
23,7,999,,9,2
22,7,999,8,8,3
21,7,999,7,7,3
20,7,999,6,6,2
19,7,999,5,5,2
18,7,999,4,4,2
17,7,999,3,3,2
16,7,999,2,2,2
15,7,999,1,1,2
